가	k a
상저미	s a ŋ t͡ɕ ʌ m i
상점	s a ŋ t͡ɕ ʌ m
상쾌한	s a ŋ kʰ w ɛ h a n
상태를	s a ŋ tʰ ɛ ɾ ɯ l
상태에	s a ŋ tʰ ɛ e
상태이다	s a ŋ tʰ ɛ i d a
상태임니다	s a ŋ tʰ ɛ i m n i d a
상학	s a ŋ h a k̚
상한	s a ŋ h a n
상황을	s a ŋ h w a ŋ ɯ l
새	s ɛ
새가	s ɛ g a
새되게	s ɛ d w e g e
새로	s ɛ ɾ o
새로운	s ɛ ɾ o u n
새로이	s ɛ ɾ o i
새로한	s ɛ ɾ o h a n
새미	s ɛ m i
새벼게	s ɛ b j ʌ g e
새벽	s ɛ b j ʌ k̚
새벽빼송보다도	s ɛ b j ʌ k̚ p͈ ɛ s o ŋ p o d a t o
새삼스러이	s ɛ s a m s ɯ ɾ ʌ i
새삼스럽께	s ɛ s a m s ɯ ɾ ʌ p̚ k͈ e
새어	s ɛ ʌ
새와	s ɛ w a
새우고	s ɛ u g o
새파란	s ɛ pʰ a ɾ a n
색씰	s ɛ k̚ s͈ i l
생가게	s ɛ ŋ k a g e
생가게는	s ɛ ŋ k a g e n ɯ n
생가그로	s ɛ ŋ k a g ɯ ɾ o
생가근	s ɛ ŋ k a g ɯ n
생가글	s ɛ ŋ k a g ɯ l
생가기	s ɛ ŋ k a g i
생가기얻따	s ɛ ŋ k a g i ʌ t̚ t͈ a
생가카고	s ɛ ŋ k a kʰ a g o
생가카는	s ɛ ŋ k a kʰ a n ɯ n
생가카며	s ɛ ŋ k a kʰ a m j ʌ
생가카면	s ɛ ŋ k a kʰ a m j ʌ n
생가카시지	s ɛ ŋ k a kʰ a s i d͡ʑ i
생가카여도	s ɛ ŋ k a kʰ a j ʌ d o
생가카엳따	s ɛ ŋ k a kʰ a j ʌ t̚ t͈ a
생가카엳떤	s ɛ ŋ k a kʰ a j ʌ t̚ t͈ ʌ n
생가카지	s ɛ ŋ k a kʰ a d͡ʑ i
생가칸	s ɛ ŋ k a kʰ a n
생가칼	s ɛ ŋ k a kʰ a l
생가칼쑤록	s ɛ ŋ k a kʰ a l s͈ u ɾ o k̚
생가캐	s ɛ ŋ k a kʰ ɛ
생가캗꺼드뇨	s ɛ ŋ k a kʰ ɛ t̚ k͈ ʌ d ɯ n j o
생각	s ɛ ŋ k a k̚
생각꽈	s ɛ ŋ k a k̚ k͈ w a
생각뙤얻따	s ɛ ŋ k a k̚ t͈ w e ʌ t̚ t͈ a
생각뽀다	s ɛ ŋ k a k̚ p͈ o d a
생각찌	s ɛ ŋ k a k̚ t͡ɕ͈ i
생겨나는	s ɛ ŋ k j ʌ n a n ɯ n
생겨날	s ɛ ŋ k j ʌ n a l
생견는지	s ɛ ŋ k j ʌ n n ɯ n t͡ɕ i
생귿	s ɛ ŋ k ɯ t̚
생기기	s ɛ ŋ k i g i
생긴다	s ɛ ŋ k i n t a
생명을	s ɛ ŋ m j ʌ ŋ ɯ l
생명의	s ɛ ŋ m j ʌ ŋ ɰ i
생무리	s ɛ ŋ m u ɾ i
생화레	s ɛ ŋ h w a ɾ e
생화리	s ɛ ŋ h w a ɾ i
서	s ʌ
서꺼	s ʌ k͈ ʌ
서껴	s ʌ k͈ j ʌ
서껴서	s ʌ k͈ j ʌ s ʌ
서낀	s ʌ k͈ i n
서나글	s ʌ n a g ɯ l
서너시나	s ʌ n ʌ s i n a
서눤드리	s ʌ n w ʌ n t ɯ ɾ i
서대문행	s ʌ d ɛ m u n h ɛ ŋ
서라블	s ʌ ɾ a b ɯ l
서로	s ʌ ɾ o
서리고	s ʌ ɾ i g o
서며녀게서	s ʌ m j ʌ n j ʌ g e s ʌ
서면	s ʌ m j ʌ n
서비스를	s ʌ b i s ɯ ɾ ɯ l
서서	s ʌ s ʌ
서슴찌	s ʌ s ɯ m t͡ɕ͈ i
서우른	s ʌ u ɾ ɯ n
서우릐	s ʌ u ɾ i
서울	s ʌ u l
서지	s ʌ d͡ʑ i
서쪼게	s ʌ t͡ɕ͈ o g e
서해에서	s ʌ h ɛ e s ʌ
석	s ʌ k̚
석또리가	s ʌ k̚ t͈ o ɾ i g a
석쐬	s ʌ k̚ s͈ w e
선	s ʌ n
선거궈늘	s ʌ n k ʌ g w ʌ n ɯ l
선거권	s ʌ n k ʌ g w ʌ n
선고를	s ʌ n k o ɾ ɯ l
선고한	s ʌ n k o h a n
선다	s ʌ n t a
선듣썬드타게	s ʌ n t ɯ t̚ s͈ ʌ n t ɯ tʰ a g e
선들선들한	s ʌ n t ɯ l s ʌ n t ɯ l h a n
선뜨카고	s ʌ n t͈ ɯ kʰ a g o
선뜨카엳따	s ʌ n t͈ ɯ kʰ a j ʌ t̚ t͈ a
선배	s ʌ n p ɛ
선비	s ʌ n p i
선비가	s ʌ n p i g a
선비는	s ʌ n p i n ɯ n
선비를	s ʌ n p i ɾ ɯ l
선비와	s ʌ n p i w a
선비와의	s ʌ n p i w a ɰ i
선비의	s ʌ n p i ɰ i
선비일	s ʌ n p i i l
선생님	s ʌ n s ɛ ŋ n i m
선생의	s ʌ n s ɛ ŋ ɰ i
선한	s ʌ n h a n
섣따	s ʌ t̚ t͈ a
섣떤	s ʌ t̚ t͈ ʌ n
설렁탕을	s ʌ l l ʌ ŋ tʰ a ŋ ɯ l
설렁하엳따	s ʌ l l ʌ ŋ h a j ʌ t̚ t͈ a
설레고	s ʌ l l e g o
설령	s ʌ l l j ʌ ŋ
설명드리겓씀니다	s ʌ l m j ʌ ŋ t ɯ ɾ i g e t̚ s͈ ɯ m n i d a
설명할	s ʌ l m j ʌ ŋ h a l
설성워리가	s ʌ l s ʌ ŋ w ʌ ɾ i g a
섭써파엳따	s ʌ p̚ s͈ ʌ pʰ a j ʌ t̚ t͈ a
섭써판	s ʌ p̚ s͈ ʌ pʰ a n
섭써피	s ʌ p̚ s͈ ʌ pʰ i
성경의	s ʌ ŋ k j ʌ ŋ ɰ i
성공의	s ʌ ŋ k o ŋ ɰ i
성내는	s ʌ ŋ n ɛ n ɯ n
성냥	s ʌ ŋ n j a ŋ
성냥을	s ʌ ŋ n j a ŋ ɯ l
성녜	s ʌ ŋ n j e
성녜시켜	s ʌ ŋ n j e s i kʰ j ʌ
성벼기	s ʌ ŋ p j ʌ g i
성워른	s ʌ ŋ w ʌ ɾ ɯ n
성으비	s ʌ ŋ ɯ b i
성이	s ʌ ŋ i
성취하나니	s ʌ ŋ t͡ɕʰ w i h a n a n i
세	s e
세계	s e g j e
세라	s e ɾ a
세민	s e m i n
세상	s e s a ŋ
세상에	s e s a ŋ e
세상에서	s e s a ŋ e s ʌ
세상을	s e s a ŋ ɯ l
세상의	s e s a ŋ ɰ i
세상이다	s e s a ŋ i d a
세우고	s e u g o
세워리	s e w ʌ ɾ i
세포에	s e pʰ o e
섿째	s e t̚ t͡ɕ͈ ɛ
소개	s o g ɛ
소개하던	s o g ɛ h a d ʌ n
소게	s o g e
소게는	s o g e n ɯ n
소게다	s o g e d a
소게서	s o g e s ʌ
소곤소곤	s o g o n s o g o n
소그로	s o g ɯ ɾ o
소글	s o g ɯ l
소기	s o g i
소나무	s o n a m u
소나타의	s o n a tʰ a ɰ i
소네	s o n e
소느로	s o n ɯ ɾ o
소늘	s o n ɯ l
소니	s o n i
소니나	s o n i n a
소니라도	s o n i ɾ a d o
소르미	s o ɾ ɯ m i
소리	s o ɾ i
소리가	s o ɾ i g a
소리가치	s o ɾ i g a t͡ɕʰ i
소리까지	s o ɾ i k͈ a d͡ʑ i
소리는	s o ɾ i n ɯ n
소리드리	s o ɾ i d ɯ ɾ i
소리로	s o ɾ i l o
소리를	s o ɾ i l ɯ l
소리만	s o ɾ i m a n
소리야말로	s o ɾ i j a m a l l o
소리에	s o ɾ i e
소리지	s o ɾ i d͡ʑ i
소리처럼	s o ɾ i t͡ɕʰ ʌ ɾ ʌ m
소리첟따	s o ɾ i t͡ɕʰ ʌ t̚ t͈ a
소매를	s o m ɛ ɾ ɯ l
소매에	s o m ɛ e
소무니	s o m u n i
소사나기	s o s a n a g i
소사낟따	s o s a n a t̚ t͈ a
소양이	s o j a ŋ i
소우를	s o u ɾ ɯ l
소위	s o w i
소유하는	s o j u h a n ɯ n
소칸다	s o kʰ a n t a
소키	s o kʰ i
소태나무	s o tʰ ɛ n a m u
소틀	s o tʰ ɯ l
소회는	s o h w e n ɯ n
속쌀거려	s o k̚ s͈ a l k ʌ ɾ j ʌ
손가라그로	s o n k a ɾ a g ɯ ɾ o
손가라글	s o n k a ɾ a g ɯ l
손가치	s o n k a t͡ɕʰ i
손과	s o n k w a
손기리	s o n k i ɾ i
손끄슨	s o n k͈ ɯ s ɯ n
손끄시	s o n k͈ ɯ s i
손니메게	s o n n i m e g e
손니믄	s o n n i m ɯ n
손니믈	s o n n i m ɯ l
손댈	s o n t ɛ l
손바다기	s o n p a d a g i
손뼈글	s o n p͈ j ʌ g ɯ l
손수거늘	s o n s u g ʌ n ɯ l
손자비를	s o n t͡ɕ a b i ɾ ɯ l
손지를	s o n t͡ɕ i ɾ ɯ l
손지슬	s o n t͡ɕ i s ɯ l
손풍그믈	s o n pʰ u ŋ k ɯ m ɯ l
솓꼬	s o t̚ k͈ o
솓꾸려고	s o t̚ k͈ u ɾ j ʌ g o
솔로모늬	s o l l o m o n i
솔립	s o l l i p̚
솜터리	s o m tʰ ʌ ɾ i
송녀글	s o ŋ n j ʌ g ɯ l
송님	s o ŋ n i m
송사를	s o ŋ s a ɾ ɯ l
송이를	s o ŋ i ɾ ɯ l
송장을	s o ŋ t͡ɕ a ŋ ɯ l
쇠믈	s w e m ɯ l
수	s u
수가	s u g a
수겨	s u g j ʌ
수겯따	s u g j ʌ t̚ t͈ a
수고하고	s u g o h a g o
수군거렫따	s u g u n k ʌ ɾ j ʌ t̚ t͈ a
수굳쑤굳	s u g u t̚ s͈ u g u t̚
수기고	s u g i k o
수기며	s u g i m j ʌ
수기지	s u g i d͡ʑ i
수긴	s u g i n
수긴다	s u g i n t a
수는	s u n ɯ n
수를	s u ɾ ɯ l
수리	s u ɾ i
수리얻씀니다	s u ɾ i ʌ t̚ s͈ ɯ m n i d a
수림	s u ɾ i m
수믄지라	s u m ɯ n t͡ɕ i ɾ a
수믈	s u m ɯ l
수미	s u m i
수바께	s u b a k͈ e
수산조하베	s u s a n t͡ɕ o h a b e
수상스러웓따	s u s a ŋ s ɯ ɾ ʌ w ʌ t̚ t͈ a
수세미가	s u s e m i g a
수스파기	s u s ɯ pʰ a g i
수습	s u s ɯ p̚
수시니니	s u s i n i n i
수시미	s u s i m i
수심	s u s i m
수어블	s u ʌ b ɯ l
수업씨	s u ʌ p̚ s͈ i
수자	s u d͡ʑ a
수자카는	s u d͡ʑ a kʰ a n ɯ n
수집뙤는	s u d͡ʑ i p̚ t͈ w e n ɯ n
수처블	s u t͡ɕʰ ʌ b ɯ l
숙찍씰	s u k̚ t͡ɕ͈ i k̚ s͈ i l
순가느로	s u n k a n ɯ ɾ o
순간	s u n k a n
순사의	s u n s a ɰ i
순서를	s u n s ʌ ɾ ɯ l
순식까네	s u n s i k̚ k͈ a n e
숟짜는	s u t̚ t͡ɕ͈ a n ɯ n
술	s u l
술만	s u l m a n
술술	s u l s u l
술지브로	s u l t͡ɕ i b ɯ ɾ o
술지비며	s u l t͡ɕ i b i m j ʌ
술취하기	s u l t͡ɕʰ w i h a g i
숨겨저	s u m k j ʌ d͡ʑ ʌ
숨도	s u m t o
숨마키게	s u m m a kʰ i g e
숭녀엳따	s u ŋ n j ʌ j ʌ t̚ t͈ a
숭숭	s u ŋ s u ŋ
쉬고	s w i g o
쉬기도	s w i g i d o
쉬얻따	s w i ʌ t̚ t͈ a
쉬일	s w i i l
쉬지	s w i d͡ʑ i
쉴	s w i l
스러젇따	s ɯ ɾ ʌ d͡ʑ ʌ t̚ t͈ a
스러지려는	s ɯ ɾ ʌ d͡ʑ i ɾ j ʌ n ɯ n
스르르	s ɯ ɾ ɯ l ɯ
스마트폰	s ɯ m a tʰ ɯ pʰ o n
스스로	s ɯ s ɯ ɾ o
스스로가	s ɯ s ɯ ɾ o g a
스승은	s ɯ s ɯ ŋ ɯ n
스치운다	s ɯ t͡ɕʰ i u n t a
스친다	s ɯ t͡ɕʰ i n t a
슬그머니	s ɯ l k ɯ m ʌ n i
슬기론	s ɯ l k i ɾ o n
슬기롭께	s ɯ l k i ɾ o p̚ k͈ e
슬리퍼를	s ɯ l l i pʰ ʌ ɾ ɯ l
슬슬	s ɯ l s ɯ l
슬퍼할	s ɯ l pʰ ʌ h a l
슬플	s ɯ l pʰ ɯ l
습껴카엳따	s ɯ p̚ k͈ j ʌ kʰ a j ʌ t̚ t͈ a
승객뜨레게	s ɯ ŋ k ɛ k̚ t͈ ɯ ɾ e g e
승니를	s ɯ ŋ n i ɾ ɯ l
승이늘	s ɯ ŋ i n ɯ l
시가네	s i g a n e
시가는	s i g a n ɯ n
시가니	s i g a n i
시각까지	s i g a k̚ k͈ a d͡ʑ i
시거쓰며	s i g ʌ s͈ ɯ m j ʌ
시계가	s i g j e k a
시계를	s i g j e ɾ ɯ l
시골	s i g o l
시교기	s i g j o k i
시그로	s i g ɯ ɾ o
시그피	s i g ɯ pʰ i
시기를	s i g i ɾ ɯ l
시기에	s i g i e
시기의	s i g i ɰ i
시낭심까지	s i n a ŋ s i m k͈ a d͡ʑ i
시낭의	s i n a ŋ ɰ i
시녇따	s i n j ʌ t̚ t͈ a
시는	s i n ɯ n
시늠하던	s i n ɯ m h a d ʌ n
시니	s i n i
시러쓰밀까	s i ɾ ʌ s͈ ɯ m i l k͈ a
시러하면서	s i ɾ ʌ h a m j ʌ n s ʌ
시러하엳떤	s i ɾ ʌ h a j ʌ t̚ t͈ ʌ n
시련자를	s i ɾ j ʌ n t͡ɕ a ɾ ɯ l
시리	s i ɾ i
시멘트	s i m e n tʰ ɯ
시뻘건	s i p͈ ʌ l k ʌ n
시서늘	s i s ʌ n ɯ l
시서니	s i s ʌ n i
시원치	s i w ʌ n t͡ɕʰ i
시원하게	s i w ʌ n h a g e
시위가	s i w i g a
시위를	s i w i ɾ ɯ l
시자	s i d͡ʑ a
시자글	s i d͡ʑ a g ɯ l
시자카엳따	s i d͡ʑ a kʰ a j ʌ t̚ t͈ a
시자카엳씀니다	s i d͡ʑ a kʰ a j ʌ t̚ s͈ ɯ m n i d a
시자카자	s i d͡ʑ a kʰ a d͡ʑ a
시자칸다	s i d͡ʑ a kʰ a n t a
시자캄니다	s i d͡ʑ a kʰ a m n i d a
시작뙏씀니다	s i d͡ʑ a k̚ t͈ w ɛ t̚ s͈ ɯ m n i d a
시작뙨	s i d͡ʑ a k̚ t͈ w e n
시진핑과	s i d͡ʑ i n pʰ i ŋ k w a
시체	s i t͡ɕʰ e
시큰시큰하여서	s i kʰ ɯ n s i kʰ ɯ n h a j ʌ s ʌ
시퍼도	s i pʰ ʌ d o
시퍼요	s i pʰ ʌ j o
시펃따	s i pʰ ʌ t̚ t͈ a
시픈	s i pʰ ɯ n
시행에	s i h ɛ ŋ e
신	s i n
신는다	s i n n ɯ n t a
신무늘	s i n m u n ɯ l
신문지를	s i n m u n t͡ɕ i ɾ ɯ l
신문지에다가	s i n m u n t͡ɕ i e d a g a
신발	s i n p a l
신비가믈	s i n p i g a m ɯ l
신사고	s i n s a g o
신사는	s i n s a n ɯ n
신신당부를	s i n s i n t a ŋ p u ɾ ɯ l
신자인	s i n t͡ɕ a i n
신장노가	s i n t͡ɕ a ŋ n o g a
신조에	s i n t͡ɕ o e
신처레게	s i n t͡ɕʰ ʌ ɾ e g e
신처릐	s i n t͡ɕʰ ʌ ɾ i
신처리	s i n t͡ɕʰ ʌ ɾ i
신처리가	s i n t͡ɕʰ ʌ ɾ i g a
신처리는	s i n t͡ɕʰ ʌ ɾ i n ɯ n
신처리도	s i n t͡ɕʰ ʌ ɾ i d o
신처리를	s i n t͡ɕʰ ʌ ɾ i l ɯ l
신청이	s i n t͡ɕʰ ʌ ŋ i
신호등을	s i n h o d ɯ ŋ ɯ l
실	s i l
실과는	s i l k w a n ɯ n
실과를	s i l k w a ɾ ɯ l
실끄슬	s i l k͈ ɯ s ɯ l
실례한	s i l l j e h a n
실망을	s i l m a ŋ ɯ l
실망이	s i l m a ŋ i
실뭉치가	s i l m u ŋ t͡ɕʰ i g a
실배글	s i l p ɛ g ɯ l
실상을	s i l s a ŋ ɯ l
실상인즉	s i l s a ŋ i n t͡ɕ ɯ k̚
실수를	s i l s u ɾ ɯ l
실제로	s i l t͡ɕ e ɾ o
실층이	s i l t͡ɕʰ ɯ ŋ i
실컨	s i l kʰ ʌ n
실타는	s i l tʰ a n ɯ n
실패를	s i l pʰ ɛ ɾ ɯ l
실패와	s i l pʰ ɛ w a
실행할	s i l h ɛ ŋ h a l
실현할	s i l h j ʌ n h a l
심	s i m
심니도	s i m n i d o
심니와	s i m n i w a
심부르믈	s i m p u ɾ ɯ m ɯ l
심사	s i m s a
심사하며	s i m s a h a m j ʌ
심상스런	s i m s a ŋ s ɯ ɾ ʌ n
심상차낟따	s i m s a ŋ t͡ɕʰ a n a t̚ t͈ a
심상치	s i m s a ŋ t͡ɕʰ i
심판	s i m pʰ a n
심한	s i m h a n
심히	s i m h i
십짜가에	s i p̚ t͡ɕ͈ a g a e
십찌	s i p̚ t͡ɕ͈ i
싱앋때는	s i ŋ a t̚ t͈ ɛ n ɯ n
싸	s͈ a
싸게	s͈ a g e
싸고	s͈ a g o
싸고도는	s͈ a g o d o n ɯ n
싸기	s͈ a g i
싸늘하게	s͈ a n ɯ l h a g e
싸라믄	s͈ a ɾ a m ɯ n
싸라미라	s͈ a ɾ a m i ɾ a
싸람	s͈ a ɾ a m
싸랑누늘	s͈ a ɾ a ŋ n u n ɯ l
싸랑누니	s͈ a ɾ a ŋ n u n i
싸래기누니	s͈ a ɾ ɛ g i n u n i
싸아야	s͈ a a j a
싸우다가	s͈ a u d a g a
싸움	s͈ a u m
싸이도	s͈ a i d o
싹	s͈ a k̚
싹싸카엳따	s͈ a k̚ s͈ a kʰ a j ʌ t̚ t͈ a
쌀쌀하게	s͈ a l s͈ a l h a g e
쌀항아리를	s͈ a l h a ŋ a ɾ i l ɯ l
쌍이	s͈ a ŋ i
쌍푸믜	s͈ a ŋ pʰ u m i
쌔도	s͈ ɛ d o
쌩가글	s͈ ɛ ŋ k a g ɯ l
쌩가카엳따	s͈ ɛ ŋ k a kʰ a j ʌ t̚ t͈ a
쌩가캐	s͈ ɛ ŋ k a kʰ ɛ
쌩가키얻따	s͈ ɛ ŋ k a kʰ i ʌ t̚ t͈ a
쌩가킨다	s͈ ɛ ŋ k a kʰ i n t a
쌩강낟따	s͈ ɛ ŋ k a ŋ n a t̚ t͈ a
쌩강만	s͈ ɛ ŋ k a ŋ m a n
써근	s͈ ʌ g ɯ n
써믄	s͈ ʌ m ɯ n
써비스도	s͈ ʌ b i s ɯ d o
써서	s͈ ʌ s ʌ
써쓰나	s͈ ʌ s͈ ɯ n a
썯따	s͈ ʌ t̚ t͈ a
썯씀니다	s͈ ʌ t̚ s͈ ɯ m n i d a
썽	s͈ ʌ ŋ
쎄우며	s͈ e u m j ʌ
쏘게서	s͈ o g e s ʌ
쏘그로	s͈ o g ɯ ɾ o
쏘나네	s͈ o n a n e
쏘다저	s͈ o d a d͡ʑ ʌ
쏘다젇따	s͈ o d a d͡ʑ ʌ t̚ t͈ a
쏘다지기	s͈ o d a d͡ʑ i g i
쏘다진다	s͈ o d a d͡ʑ i n t a
쏘리가	s͈ o ɾ i g a
쏘망까지	s͈ o m a ŋ k͈ a d͡ʑ i
쏘앋따	s͈ o a t̚ t͈ a
쏘지마	s͈ o d͡ʑ i m a
쏜가라글	s͈ o n k a ɾ a g ɯ l
쏭이를	s͈ o ŋ i ɾ ɯ l
쏴아쏴아	s͈ w a a s͈ w a a
쑤	s͈ u
쑤가	s͈ u g a
쑤거느로	s͈ u g ʌ n ɯ ɾ o
쑤거늘	s͈ u g ʌ n ɯ l
쑤기고	s͈ u g i k o
쑤긴다	s͈ u g i n t a
쑤는	s͈ u n ɯ n
쑤바께	s͈ u b a k͈ e
쑥	s͈ u k̚
쑴바꼭찌를	s͈ u m p a k͈ o k̚ t͡ɕ͈ i ɾ ɯ l
쒸며	s͈ w i m j ʌ
쒸얻따	s͈ w i ʌ t̚ t͈ a
쓰게	s͈ ɯ g e
쓰겓씀니다	s͈ ɯ g e t̚ s͈ ɯ m n i d a
쓰고	s͈ ɯ g o
쓰러	s͈ ɯ ɾ ʌ
쓰러젇따	s͈ ɯ ɾ ʌ d͡ʑ ʌ t̚ t͈ a
쓰러지어	s͈ ɯ ɾ ʌ d͡ʑ i ʌ
쓰러질	s͈ ɯ ɾ ʌ d͡ʑ i l
쓰레기	s͈ ɯ ɾ e g i
쓰려면	s͈ ɯ ɾ j ʌ m j ʌ n
쓰려서	s͈ ɯ ɾ j ʌ s ʌ
쓰며	s͈ ɯ m j ʌ
쓰이는	s͈ ɯ i n ɯ n
쓴	s͈ ɯ n
쓴다	s͈ ɯ n t a
쓸	s͈ ɯ l
쓸쓸하미	s͈ ɯ l s͈ ɯ l h a m i
쓸쓸해지는	s͈ ɯ l s͈ ɯ l h ɛ d͡ʑ i n ɯ n
씨	s͈ i
씨가니	s͈ i g a n i
씨를	s͈ i ɾ ɯ l
씨섣따	s͈ i s ʌ t̚ t͈ a
씨스려고도	s͈ i s ɯ ɾ j ʌ g o d o
씨슨	s͈ i s ɯ n
씨아틀도	s͈ i a tʰ ɯ l t o
씨어	s͈ i ʌ
씨어질	s͈ i ʌ d͡ʑ i l
씨와	s͈ i w a
씨의	s͈ i ɰ i
씨장하던	s͈ i d͡ʑ a ŋ h a d ʌ n
씩싸를	s͈ i k̚ s͈ a ɾ ɯ l
씩씨카며	s͈ i k̚ s͈ i kʰ a m j ʌ
씩씩꺼리며	s͈ i k̚ s͈ i k̚ k͈ ʌ ɾ i m j ʌ
씬처릐	s͈ i n t͡ɕʰ ʌ ɾ i
씬처리는	s͈ i n t͡ɕʰ ʌ ɾ i n ɯ n
씬처리와	s͈ i n t͡ɕʰ ʌ ɾ i w a
씯떠니	s͈ i t̚ t͈ ʌ n i
씰라며	s͈ i l l a m j ʌ
씰라여	s͈ i l l a j ʌ
아	a
아글	a g ɯ l
아기	a g i
아기는	a g i n ɯ n
아까	a k͈ a
아까까지	a k͈ a k͈ a d͡ʑ i
아까워서	a k͈ a w ʌ s ʌ
아깝께	a k͈ a p̚ k͈ e
아나	a n a
아나기	a n a g i
아나도	a n a d o
아나서	a n a s ʌ
아나써도	a n a s͈ ʌ d o
아낟따	a n a t̚ t͈ a
아낟떤	a n a t̚ t͈ ʌ n
아낟떤가	a n a t̚ t͈ ʌ n k a
아내가	a n ɛ g a
아내드레게	a n ɛ d ɯ ɾ e g e
아내를	a n ɛ ɾ ɯ l
아내의	a n ɛ ɰ i
아네	a n e
아네는	a n e n ɯ n
아네서	a n e s ʌ
아느나	a n ɯ n a
아느나마	a n ɯ n a m a
아느니까	a n ɯ n i k͈ a
아느로	a n ɯ ɾ o
아느면	a n ɯ m j ʌ n
아느므로	a n ɯ m ɯ ɾ o
아느칸	a n ɯ kʰ a n
아는	a n ɯ n
아는가	a n ɯ n k a
아늘	a n ɯ l
아니	a n i
아니거든	a n i g ʌ d ɯ n
아니겓쏘	a n i g e t̚ s͈ o
아니고	a n i g o
아니냐	a n i n j a
아니다	a n i d a
아니더라면	a n i d ʌ ɾ a m j ʌ n
아니라	a n i ɾ a
아니라기에는	a n i ɾ a g i e n ɯ n
아니란	a n i ɾ a n
아니로되	a n i ɾ o d w e
아니면	a n i m j ʌ n
아니믄	a n i m ɯ n
아니야	a n i j a
아니어써	a n i ʌ s͈ ʌ
아니얻따	a n i ʌ t̚ t͈ a
아니요	a n i j o
아니하고	a n i h a g o
아니하는	a n i h a n ɯ n
아니하다	a n i h a d a
아니하리라	a n i h a ɾ i l a
아니하며	a n i h a m j ʌ
아니하엳따	a n i h a j ʌ t̚ t͈ a
아니한다	a n i h a n t a
아닌	a n i n
아다메게	a d a m e g e
아다미	a d a m i
아다와	a d a w a
아다요	a d a j o
아담과	a d a m k w a
아드가드캐서야	a d ɯ g a d ɯ kʰ ɛ s ʌ j a
아드라	a d ɯ ɾ a
아드른	a d ɯ ɾ ɯ n
아드릐	a d ɯ ɾ i
아드리	a d ɯ ɾ i
아드린가	a d ɯ ɾ i n k a
아들	a d ɯ l
아들드라	a d ɯ l t ɯ ɾ a
아뜨가뜨캐지며	a t͈ ɯ g a t͈ ɯ kʰ ɛ d͡ʑ i m j ʌ
아뜨캐지며	a t͈ ɯ kʰ ɛ d͡ʑ i m j ʌ
아라	a ɾ a
아라는	a ɾ a n ɯ n
아라듣찌	a ɾ a d ɯ t̚ t͡ɕ͈ i
아라쓰나	a ɾ a s͈ ɯ n a
아라쓰며	a ɾ a s͈ ɯ m j ʌ
아라챋따는	a ɾ a t͡ɕʰ ɛ t̚ t͈ a n ɯ n
아란니	a ɾ a n n i
아랃따	a ɾ a t̚ t͈ a
아랃떤	a ɾ a t̚ t͈ ʌ n
아랄하도롱	a ɾ a l h a d o ɾ o ŋ
아래	a ɾ ɛ
아래로	a ɾ ɛ l o
아래를	a ɾ ɛ l ɯ l
아래에	a ɾ ɛ e
아래의	a ɾ ɛ ɰ i
아랜	a ɾ ɛ n
아랜모게	a ɾ ɛ n m o g e
아랟빼를	a ɾ ɛ t̚ p͈ ɛ ɾ ɯ l
아름다우니라	a ɾ ɯ m t a u n i ɾ a
아름다운	a ɾ ɯ m t a u n
아름답께	a ɾ ɯ m t a p̚ k͈ e
아름답꼬	a ɾ ɯ m t a p̚ k͈ o
아마	a m a
아무	a m u
아무거시라도	a m u g ʌ s i ɾ a d o
아무걷또	a m u g ʌ t̚ t͈ o
아무도	a m u d o
아무러한	a m u ɾ ʌ h a n
아무리	a m u ɾ i
아버니믄	a b ʌ n i m ɯ n
아버지	a b ʌ d͡ʑ i
아버지가	a b ʌ d͡ʑ i g a
아버지는	a b ʌ d͡ʑ i n ɯ n
아버지에게	a b ʌ d͡ʑ i e g e
아버지와	a b ʌ d͡ʑ i w a
아버지의	a b ʌ d͡ʑ i ɰ i
아비의	a b i ɰ i
아쉬워써	a s w i w ʌ s͈ ʌ
아스팔트	a s ɯ pʰ a l tʰ ɯ
아스팔트를	a s ɯ pʰ a l tʰ ɯ ɾ ɯ l
아씨	a s͈ i
아예	a j e
아우를	a u ɾ ɯ l
아우의	a u ɰ i
아울러자	a u l l ʌ d͡ʑ a
아이가	a i g a
아이고	a i g o
아이구	a i g u
아이나	a i n a
아이드른	a i d ɯ ɾ ɯ n
아이드를	a i d ɯ ɾ ɯ l
아이어에	a i ʌ e
아이유는	a i j u n ɯ n
아주	a d͡ʑ u
아직	a d͡ʑ i k̚
아직까지	a d͡ʑ i k̚ k͈ a d͡ʑ i
아직까지도	a d͡ʑ i k̚ k͈ a d͡ʑ i d o
아직또	a d͡ʑ i k̚ t͈ o
아징	a d͡ʑ i ŋ
아첨하는	a t͡ɕʰ ʌ m h a n ɯ n
아치메	a t͡ɕʰ i m e
아치미	a t͡ɕʰ i m i
아치미면	a t͡ɕʰ i m i m j ʌ n
아침	a t͡ɕʰ i m
아침까지	a t͡ɕʰ i m k͈ a d͡ʑ i
아침상을	a t͡ɕʰ i m s a ŋ ɯ l
아침저녀그로	a t͡ɕʰ i m t͡ɕ ʌ n j ʌ g ɯ ɾ o
아팓따	a pʰ a t̚ t͈ a
아페	a pʰ e
아페까지	a pʰ e k͈ a d͡ʑ i
아페서	a pʰ e s ʌ
아편쟁이의	a pʰ j ʌ n t͡ɕ ɛ ŋ i ɰ i
