аа	aː
тавхайн	tʰ a w x a j n
тавхан	tʰ a w x a n
тавьдаг	tʰ a wʲ t a ɡ
тавьж	tʰ a wʲ t͡ʃ
тавьжээ	tʰ a wʲ t͡ʃ ɛː
тавьсан	tʰ a wʲ s a n
тавьсанд	tʰ a wʲ s a n t
тавьснаар	tʰ a wʲ s n aː r
тавьтын	tʰ a wʲ tʰ iː n
тавьчих	tʰ a wʲ t͡ʃʰ i x
тавьчихдаг	tʰ a wʲ t͡ʃʰ i x t a ɡ
тавьчхаад	tʰ a wʲ t͡ʃʰ x aː t
тавья	tʰ a wʲ j a
таг	tʰ a ɡ
тагжирчихвуу	tʰ a ɡ t͡ʃ i r t͡ʃʰ i x w ʊː
тагийг	tʰ a ɡ iː ɡ
тагларчихсан	tʰ a ɡ ɮ a r t͡ʃʰ i x s a n
тагнах	tʰ a ɡ n a x
тагнуул	tʰ a ɡ n ʊː ɮ
тагнуулд	tʰ a ɡ n ʊː ɮ t
тагнуулын	tʰ a ɡ n ʊː ɮ iː n
тайван	tʰ a j w a n
тайвань	tʰ a j w a nʲ
тайвныг	tʰ a j w n iː ɡ
тайвуу	tʰ a j w ʊː
тайвширдаг	tʰ a j w ʃ i r t a ɡ
тайвширлаа	tʰ a j w ʃ i r ɮ aː
тайвширна	tʰ a j w ʃ i r n a
тайвширч	tʰ a j w ʃ i r t͡ʃʰ
тайвшран	tʰ a j w ʃ r a n
тайвшрах	tʰ a j w ʃ r a x
тайга	tʰ a j ɡ a
тайгаас	tʰ a j ɡ aː s
тайж	tʰ a j t͡ʃ
тайжийн	tʰ a j t͡ʃ iː n
тайжийнд	tʰ a j t͡ʃ iː n t
тайзан	tʰ a j t͡s a n
тайзнаа	tʰ a j t͡s n aː
тайлаг	tʰ a j ɮ a ɡ
тайлагдаагүй	tʰ a j ɮ a ɡ t aː ɡ u j
тайлагнадаг	tʰ a j ɮ a ɡ n a t a ɡ
тайлагнах	tʰ a j ɮ a ɡ n a x
тайлал	tʰ a j ɮ a ɮ
тайлан	tʰ a j ɮ a n
тайланг	tʰ a j ɮ a n ɡ
тайлангийн	tʰ a j ɮ a n ɡ iː n
тайландын	tʰ a j ɮ a n t iː n
тайлбар	tʰ a j ɮ p a r
тайлбараас	tʰ a j ɮ p a r aː s
тайлбарлаад	tʰ a j ɮ p a r ɮ aː t
тайлбарлав	tʰ a j ɮ p a r ɮ a w
тайлбарлавал	tʰ a j ɮ p a r ɮ a w a ɮ
тайлбарладаг	tʰ a j ɮ p a r ɮ a t a ɡ
тайлбарлаж	tʰ a j ɮ p a r ɮ a t͡ʃ
тайлбарласнаас	tʰ a j ɮ p a r ɮ a s n aː s
тайлбарлах	tʰ a j ɮ p a r ɮ a x
тайлбарлахыг	tʰ a j ɮ p a r ɮ a x iː ɡ
тайлбарлая	tʰ a j ɮ p a r ɮ a j
тайлбартайгаар	tʰ a j ɮ p a r tʰ a j ɡ aː r
тайлбарыг	tʰ a j ɮ p a r iː ɡ
тайлж	tʰ a j ɮ t͡ʃ
тайлна	tʰ a j ɮ n a
тайрмал	tʰ a j r m a ɮ
тайруулахад	tʰ a j r ʊː ɮ a x a t
тайтгарууллаа	tʰ a j tʰ ɡ a r ʊː ɮ ɮ aː
такамура	tʰ a kʰ a m ʊ r a
таканоивад	tʰ a kʰ a n ɔi w a t
тал	tʰ a ɮ
талаар	tʰ a ɮ aː r
талаараа	tʰ a ɮ aː r aː
талаарх	tʰ a ɮ aː r x
талаас	tʰ a ɮ aː s
талаасаа	tʰ a ɮ aː s aː
талархаад	tʰ a ɮ a r x aː t
талархахгүй	tʰ a ɮ a r x a x ɡ u j
талархлаар	tʰ a ɮ a r x ɮ aː r
талбай	tʰ a ɮ p a j
талбайгаар	tʰ a ɮ p a j ɡ aː r
талбайд	tʰ a ɮ p a j t
талбар	tʰ a ɮ p a r
талбарт	tʰ a ɮ p a r tʰ
талд	tʰ a ɮ t
талдаа	tʰ a ɮ t aː
талийгаачийн	tʰ a ɮ iː ɡ aː t͡ʃʰ iː n
талийгч	tʰ a ɮ iː ɡ t͡ʃʰ
талийж	tʰ a ɮ iː t͡ʃ
талимааран	tʰ a ɮ i m aː r a n
талтай	tʰ a ɮ tʰ a j
талтайн	tʰ a ɮ tʰ a j n
талууд	tʰ a ɮ ʊː t
талуудтай	tʰ a ɮ ʊː t tʰ a j
талуудын	tʰ a ɮ ʊː t iː n
талуудынхаа	tʰ a ɮ ʊː t iː n x aː
талх	tʰ a ɮ x
талхыг	tʰ a ɮ x iː ɡ
талыг	tʰ a ɮ iː ɡ
талын	tʰ a ɮ iː n
талынхны	tʰ a ɮ iː n x n iː
там	tʰ a m
тамга	tʰ a m ɡ a
тамгыг	tʰ a m ɡ iː ɡ
тамез	tʰ a mʲ i t͡s
тамирчидтай	tʰ a m i r t͡ʃʰ i t tʰ a j
тамирчин	tʰ a m i r t͡ʃʰ i n
тамирын	tʰ a m i r iː n
тамлуулавч	tʰ a m ɮ ʊː ɮ a w t͡ʃʰ
тамхи	tʰ a m x i
тамхиа	tʰ a m x ia
тамхийг	tʰ a m x iː ɡ
тамхинд	tʰ a m x i n t
тамхины	tʰ a m x i n iː
тамхиныхаа	tʰ a m x i n iː x aː
тамхичид	tʰ a m x i t͡ʃʰ i t
тамхичин	tʰ a m x i t͡ʃʰ i n
тамын	tʰ a m iː n
тан	tʰ a n
тана	tʰ a n a
танаа	tʰ a n aː
танаар	tʰ a n aː r
танаас	tʰ a n aː s
танай	tʰ a n a j
танан	tʰ a n a n
танахыг	tʰ a n a x iː ɡ
тангараг	tʰ a n ɡ a r a ɡ
тангараглаж	tʰ a n ɡ a r a ɡ ɮ a t͡ʃ
танд	tʰ a n t
таниад	tʰ a n ia t
танив	tʰ a n i w
танигдах	tʰ a n i ɡ t a x
танигдахгүй	tʰ a n i ɡ t a x ɡ u j
танигдсан	tʰ a n i ɡ t s a n
танил	tʰ a n i ɮ
танилтай	tʰ a n i ɮ tʰ a j
танилцаагүй	tʰ a n i ɮ t͡sʰ aː ɡ u j
танилцаад	tʰ a n i ɮ t͡sʰ aː t
танилцав	tʰ a n i ɮ t͡sʰ a w
танилцаж	tʰ a n i ɮ t͡sʰ a t͡ʃ
танилцана	tʰ a n i ɮ t͡sʰ a n a
танилцах	tʰ a n i ɮ t͡sʰ a x
танилцлаа	tʰ a n i ɮ t͡sʰ ɮ aː
танилцсан	tʰ a n i ɮ t͡sʰ s a n
танилцсанаа	tʰ a n i ɮ t͡sʰ s a n aː
танилцсанаас	tʰ a n i ɮ t͡sʰ s a n aː s
танилцуулах	tʰ a n i ɮ t͡sʰ ʊː ɮ a x
танилцуулахаар	tʰ a n i ɮ t͡sʰ ʊː ɮ a x aː r
танилцуулъя	tʰ a n i ɮ t͡sʰ ʊː ɮʲ a
танимагцаа	tʰ a n i m a ɡ t͡sʰ aː
танин	tʰ a n i n
таниулж	tʰ a n iʊ ɮ t͡ʃ
таниулсан	tʰ a n iʊ ɮ s a n
таних	tʰ a n i x
танихад	tʰ a n i x a t
танихгүй	tʰ a n i x ɡ u j
танк	tʰ a n kʰ
танкийн	tʰ a n kʰ iː n
тансаг	tʰ a n s a ɡ
тантай	tʰ a n tʰ a j
танхим	tʰ a n x i m
танхимаар	tʰ a n x i m aː r
танхимаас	tʰ a n x i m aː s
танхимд	tʰ a n x i m t
танхимууд	tʰ a n x i m ʊː t
танхимыг	tʰ a n x i m iː ɡ
таны	tʰ a n iː
таныг	tʰ a n iː ɡ
таныгаа	tʰ a n iː ɡ aː
таных	tʰ a n iː x
тань	tʰ a nʲ
таньдаг	tʰ a nʲ t a ɡ
таньж	tʰ a nʲ t͡ʃ
таньжээ	tʰ a nʲ t͡ʃ ɛː
таньтай	tʰ a nʲ tʰ a j
тапс	tʰ a pʰ s
тараад	tʰ a r aː t
тарааж	tʰ a r aː t͡ʃ
тараасан	tʰ a r aː s a n
тараах	tʰ a r aː x
тараахын	tʰ a r aː x iː n
тараг	tʰ a r a ɡ
таран	tʰ a r a n
тарах	tʰ a r a x
тарвага	tʰ a r w a ɡ a
тарвагыг	tʰ a r w a ɡ iː ɡ
таргалсан	tʰ a r ɡ a ɮ s a n
таргалчихаа	tʰ a r ɡ a ɮ t͡ʃʰ i x aː
тарган	tʰ a r ɡ a n
тариа	tʰ a r ia
тариагаар	tʰ a r ia ɡ aː r
тариан	tʰ a r ia n
тарианд	tʰ a r ia n t
тарианы	tʰ a r ia n iː
тариатай	tʰ a r ia tʰ a j
тариачин	tʰ a r ia t͡ʃʰ i n
таримал	tʰ a r i m a ɮ
тарифаар	tʰ a r i f aː r
тарифтай	tʰ a r i f tʰ a j
тарифыг	tʰ a r i f iː ɡ
тарлаа	tʰ a r ɮ aː
тармагц	tʰ a r m a ɡ t͡sʰ
тарсан	tʰ a r s a n
тартагтаа	tʰ a r tʰ a ɡ tʰ aː
тархаж	tʰ a r x a t͡ʃ
тархалтаас	tʰ a r x a ɮ tʰ aː s
тархжээ	tʰ a r x t͡ʃ ɛː
тархиа	tʰ a r x ia
тархинд	tʰ a r x i n t
тархины	tʰ a r x i n iː
тархитай	tʰ a r x i tʰ a j
тархсан	tʰ a r x s a n
тарчиг	tʰ a r t͡ʃʰ i ɡ
тарчилгах	tʰ a r t͡ʃʰ i ɮ ɡ a x
тарчилж	tʰ a r t͡ʃʰ i ɮ t͡ʃ
тарчилсныг	tʰ a r t͡ʃʰ i ɮ s n iː ɡ
тарьдаг	tʰ a rʲ t a ɡ
тарьж	tʰ a rʲ t͡ʃ
тарьсан	tʰ a rʲ s a n
тас	tʰ a s
тасаг	tʰ a s a ɡ
тасагтаа	tʰ a s a ɡ tʰ aː
тасалбал	tʰ a s a ɮ p a ɮ
тасалбар	tʰ a s a ɮ p a r
тасалбараа	tʰ a s a ɮ p a r aː
тасалгаа	tʰ a s a ɮ ɡ aː
тасалгааг	tʰ a s a ɮ ɡ aː ɡ
тасалгаанд	tʰ a s a ɮ ɡ aː n t
тасалгаандаа	tʰ a s a ɮ ɡ aː n t aː
тасалгааны	tʰ a s a ɮ ɡ aː n iː
тасалгаатай	tʰ a s a ɮ ɡ aː tʰ a j
тасалдаж	tʰ a s a ɮ t a t͡ʃ
тасалдангуй	tʰ a s a ɮ t a n ɡ ʊi
тасалж	tʰ a s a ɮ t͡ʃ
тасар	tʰ a s a r
тасардаггүй	tʰ a s a r t a ɡ ɡ u j
тасарсан	tʰ a s a r s a n
тасарч	tʰ a s a r t͡ʃʰ
тасгийн	tʰ a s ɡ iː n
таслагдсан	tʰ a s ɮ a ɡ t s a n
таслан	tʰ a s ɮ a n
таслах	tʰ a s ɮ a x
таслахад	tʰ a s ɮ a x a t
таслахгүй	tʰ a s ɮ a x ɡ u j
таслуулсан	tʰ a s ɮ ʊː ɮ s a n
тасраад	tʰ a s r aː t
тасрав	tʰ a s r a w
тасралтгүй	tʰ a s r a ɮ tʰ ɡ u j
тасран	tʰ a s r a n
татаад	tʰ a tʰ aː t
татаас	tʰ a tʰ aː s
татаг	tʰ a tʰ a ɡ
татагдан	tʰ a tʰ a ɡ t a n
татагдах	tʰ a tʰ a ɡ t a x
татагджээ	tʰ a tʰ a ɡ t t͡ʃ ɛː
татагдсан	tʰ a tʰ a ɡ t s a n
татаж	tʰ a tʰ a t͡ʃ
таталцлын	tʰ a tʰ a ɮ t͡sʰ ɮ iː n
татам	tʰ a tʰ a m
татан	tʰ a tʰ a n
татах	tʰ a tʰ a x
татахгүйгээр	tʰ a tʰ a x ɡ u j ɡ ɛː r
татахлаар	tʰ a tʰ a x ɮ aː r
татахуйц	tʰ a tʰ a x ʊi t͡sʰ
татахыг	tʰ a tʰ a x iː ɡ
татвал	tʰ a tʰ w a ɮ
татвар	tʰ a tʰ w a r
татваруудыг	tʰ a tʰ w a r ʊː t iː ɡ
татварыг	tʰ a tʰ w a r iː ɡ
татгалзаарай	tʰ a tʰ ɡ a ɮ t͡s aː r a j
татгалзах	tʰ a tʰ ɡ a ɮ t͡s a x
татгалзахгүй	tʰ a tʰ ɡ a ɮ t͡s a x ɡ u j
татгалздаг	tʰ a tʰ ɡ a ɮ t͡s t a ɡ
татдаг	tʰ a tʰ t a ɡ
татдаггүй	tʰ a tʰ t a ɡ ɡ u j
татжээ	tʰ a tʰ t͡ʃ ɛː
татна	tʰ a tʰ n a
татсан	tʰ a tʰ s a n
татуу	tʰ a tʰ ʊː
татуулан	tʰ a tʰ ʊː ɮ a n
татуулжээ	tʰ a tʰ ʊː ɮ t͡ʃ ɛː
татчих	tʰ a tʰ t͡ʃʰ i x
татъя	tʰ a tʰʲ a
тахалд	tʰ a x a ɮ t
тахиа	tʰ a x ia
тахидаг	tʰ a x i t a ɡ
тахиж	tʰ a x i t͡ʃ
тахилга	tʰ a x i ɮ ɡ a
тахилгын	tʰ a x i ɮ ɡ iː n
тахилч	tʰ a x i ɮ t͡ʃʰ
тахир	tʰ a x i r
тахирлан	tʰ a x i r ɮ a n
тахирлана	tʰ a x i r ɮ a n a
тахиулах	tʰ a x iʊ ɮ a x
тахтай	tʰ a x tʰ a j
тачаадах	tʰ a t͡ʃʰ aː t a x
тачаал	tʰ a t͡ʃʰ aː ɮ
тачаалаас	tʰ a t͡ʃʰ aː ɮ aː s
тачигнаж	tʰ a t͡ʃʰ i ɡ n a t͡ʃ
тачигнан	tʰ a t͡ʃʰ i ɡ n a n
ташаа	tʰ a ʃ aː
ташаарагдсан	tʰ a ʃ aː r a ɡ t s a n
ташиж	tʰ a ʃ i t͡ʃ
ташин	tʰ a ʃ i n
ташуур	tʰ a ʃ ʊː r
ташуураа	tʰ a ʃ ʊː r aː
таягаа	tʰ a j ɡ aː
твердохлебов	tʰ wʲ i r t ɔ x ɮʲ i p ɔ w
тегеран	tʰʲ i ɡʲ i r a n
тегераны	tʰʲ i ɡʲ i r a n iː
текст	tʰʲ i kʰ s tʰ
текстээр	tʰʲ i kʰ s tʰ ɛː r
телевизийн	tʰʲ i ɮʲ i w i t͡s iː n
телевизор	tʰʲ i ɮʲ i w i t͡s ɔ r
телевизэд	tʰʲ i ɮʲ i w i t͡s ɛ t
телефон	tʰʲ i ɮʲ i f ɔ n
телефоны	tʰʲ i ɮʲ i f ɔ n iː
температуртаа	tʰʲ i m pʰʲ i r a tʰ ʊ r tʰ aː
тендерт	tʰʲ i n tʲ i r tʰ
теорем	tʰʲ iɔ rʲ i m
террористууд	tʰʲ i r r ɔ r i s tʰ ʊː t
тетрациклин	tʰʲ i tʰ r a t͡sʰ i kʰ ɮ i n
техник	tʰʲ i x n i kʰ
техникийг	tʰʲ i x n i kʰ iː ɡ
техникийн	tʰʲ i x n i kʰ iː n
техникумд	tʰʲ i x n i kʰ ʊ m t
техникүүдтэй	tʰʲ i x n i kʰ uː t tʰ ɛ j
технократ	tʰʲ i x n ɔ kʰ r a tʰ
технологи	tʰʲ i x n ɔ ɮ ɔ ɡ i
технологид	tʰʲ i x n ɔ ɮ ɔ ɡ i t
технологийн	tʰʲ i x n ɔ ɮ ɔ ɡ iː n
технологио	tʰʲ i x n ɔ ɮ ɔ ɡ iɔ
технологиор	tʰʲ i x n ɔ ɮ ɔ ɡ iɔ r
технологиудыг	tʰʲ i x n ɔ ɮ ɔ ɡ iʊ t iː ɡ
тивийг	tʰ i w iː ɡ
тивийн	tʰ i w iː n
тивийнхний	tʰ i w iː n x n iː
тивээс	tʰ i w ɛː s
тийм	tʰ iː m
тиймгүй	tʰ iː m ɡ u j
тиймд	tʰ iː m t
тиймдээ	tʰ iː m t ɛː
тиймэрхүү	tʰ iː m ɛ r x uː
тиймээ	tʰ iː m ɛː
тиймээр	tʰ iː m ɛː r
тиймээс	tʰ iː m ɛː s
тийн	tʰ iː n
тийнхүү	tʰ iː n x uː
тийрэн	tʰ iː r ɛ n
тийш	tʰ iː ʃ
тийшээ	tʰ iː ʃ ɛː
тим	tʰ i m
тимея	tʰ i mʲ i j a
типографийн	tʰ i pʰ ɔ ɡ r a f iː n
титэм	tʰ i tʰ ɛ m
тнт	tʰ n tʰ
тов	tʰ ɔ w
товгор	tʰ ɔ w ɡ ɔ r
товлож	tʰ ɔ w ɮ ɔ t͡ʃ
товонгүй	tʰ ɔ w ɔ n ɡ u j
товтой	tʰ ɔ w tʰ ɔ j
товхийтэл	tʰ ɔ w x iː tʰ ɛ ɮ
товч	tʰ ɔ w t͡ʃʰ
товчийг	tʰ ɔ w t͡ʃʰ iː ɡ
товчлуур	tʰ ɔ w t͡ʃʰ ɮ ʊː r
товчоо	tʰ ɔ w t͡ʃʰ ɔː
товчоор	tʰ ɔ w t͡ʃʰ ɔː r
товшиж	tʰ ɔ w ʃ i t͡ʃ
товыг	tʰ ɔ w iː ɡ
тог	tʰ ɔ ɡ
тоглов	tʰ ɔ ɡ ɮ ɔ w
тогловол	tʰ ɔ ɡ ɮ ɔ w ɔ ɮ
тоглогч	tʰ ɔ ɡ ɮ ɔ ɡ t͡ʃʰ
тоглогчид	tʰ ɔ ɡ ɮ ɔ ɡ t͡ʃʰ i t
тоглодгийн	tʰ ɔ ɡ ɮ ɔ t ɡ iː n
тоглодог	tʰ ɔ ɡ ɮ ɔ t ɔ ɡ
тоглож	tʰ ɔ ɡ ɮ ɔ t͡ʃ
тоглолт	tʰ ɔ ɡ ɮ ɔ ɮ tʰ
тоглолтдоо	tʰ ɔ ɡ ɮ ɔ ɮ tʰ t ɔː
тоглолтоо	tʰ ɔ ɡ ɮ ɔ ɮ tʰ ɔː
тоглолтоос	tʰ ɔ ɡ ɮ ɔ ɮ tʰ ɔː s
тоглолтыг	tʰ ɔ ɡ ɮ ɔ ɮ tʰ iː ɡ
тоглоно	tʰ ɔ ɡ ɮ ɔ n ɔ
тоглоом	tʰ ɔ ɡ ɮ ɔː m
тоглоомд	tʰ ɔ ɡ ɮ ɔː m t
тоглоомон	tʰ ɔ ɡ ɮ ɔː m ɔ n
тоглоомыг	tʰ ɔ ɡ ɮ ɔː m iː ɡ
тоглоомын	tʰ ɔ ɡ ɮ ɔː m iː n
тоглосон	tʰ ɔ ɡ ɮ ɔ s ɔ n
тоглосоор	tʰ ɔ ɡ ɮ ɔ s ɔː r
тоглох	tʰ ɔ ɡ ɮ ɔ x
тоглохыг	tʰ ɔ ɡ ɮ ɔ x iː ɡ
тогоо	tʰ ɔ ɡ ɔː
тогообатын	tʰ ɔ ɡ ɔː p a tʰ iː n
тогоонд	tʰ ɔ ɡ ɔː n t
тогооны	tʰ ɔ ɡ ɔː n iː
тогтвор	tʰ ɔ ɡ tʰ w ɔ r
тогтворжоогүй	tʰ ɔ ɡ tʰ w ɔ r t͡ʃ ɔː ɡ u j
тогтвортой	tʰ ɔ ɡ tʰ w ɔ r tʰ ɔ j
тогтдоггүй	tʰ ɔ ɡ tʰ t ɔ ɡ ɡ u j
тогтмол	tʰ ɔ ɡ tʰ m ɔ ɮ
тогтнолын	tʰ ɔ ɡ tʰ n ɔ ɮ iː n
тогтов	tʰ ɔ ɡ tʰ ɔ w
тогтож	tʰ ɔ ɡ tʰ ɔ t͡ʃ
тогтолцоо	tʰ ɔ ɡ tʰ ɔ ɮ t͡sʰ ɔː
тогтолцоог	tʰ ɔ ɡ tʰ ɔ ɮ t͡sʰ ɔː ɡ
тогтолцоонд	tʰ ɔ ɡ tʰ ɔ ɮ t͡sʰ ɔː n t
тогтолцооноос	tʰ ɔ ɡ tʰ ɔ ɮ t͡sʰ ɔː n ɔː s
тогтолцооны	tʰ ɔ ɡ tʰ ɔ ɮ t͡sʰ ɔː n iː
тогтоогдсон	tʰ ɔ ɡ tʰ ɔː ɡ t s ɔ n
тогтоогоогүй	tʰ ɔ ɡ tʰ ɔː ɡ ɔː ɡ u j
тогтоогчид	tʰ ɔ ɡ tʰ ɔː ɡ t͡ʃʰ i t
тогтоод	tʰ ɔ ɡ tʰ ɔː t
тогтоож	tʰ ɔ ɡ tʰ ɔː t͡ʃ
тогтоолоо	tʰ ɔ ɡ tʰ ɔː ɮ ɔː
тогтоолт	tʰ ɔ ɡ tʰ ɔː ɮ tʰ
тогтоолтын	tʰ ɔ ɡ tʰ ɔː ɮ tʰ iː n
тогтоолын	tʰ ɔ ɡ tʰ ɔː ɮ iː n
тогтооно	tʰ ɔ ɡ tʰ ɔː n ɔ
тогтоох	tʰ ɔ ɡ tʰ ɔː x
тогтооход	tʰ ɔ ɡ tʰ ɔː x ɔ t
тогтох	tʰ ɔ ɡ tʰ ɔ x
тогтохгүй	tʰ ɔ ɡ tʰ ɔ x ɡ u j
тогтсон	tʰ ɔ ɡ tʰ s ɔ n
тод	tʰ ɔ t
тодорлоо	tʰ ɔ t ɔ r ɮ ɔː
тодорсон	tʰ ɔ t ɔ r s ɔ n
тодорхой	tʰ ɔ t ɔ r x ɔ j
тодорхойгүй	tʰ ɔ t ɔ r x ɔ j ɡ u j
тодорхойлдог	tʰ ɔ t ɔ r x ɔ j ɮ t ɔ ɡ
тодорхойлдоггүй	tʰ ɔ t ɔ r x ɔ j ɮ t ɔ ɡ ɡ u j
тодорхойлж	tʰ ɔ t ɔ r x ɔ j ɮ t͡ʃ
тодорхойлолт	tʰ ɔ t ɔ r x ɔ j ɮ ɔ ɮ tʰ
тодорхойлолтоос	tʰ ɔ t ɔ r x ɔ j ɮ ɔ ɮ tʰ ɔː s
тодорхойлон	tʰ ɔ t ɔ r x ɔ j ɮ ɔ n
тодорхойлох	tʰ ɔ t ɔ r x ɔ j ɮ ɔ x
тодорхойлоход	tʰ ɔ t ɔ r x ɔ j ɮ ɔ x ɔ t
тодорхойлсон	tʰ ɔ t ɔ r x ɔ j ɮ s ɔ n
тодорч	tʰ ɔ t ɔ r t͡ʃʰ
тодроод	tʰ ɔ t r ɔː t
тодруулах	tʰ ɔ t r ʊː ɮ a x
тодруулбал	tʰ ɔ t r ʊː ɮ p a ɮ
тодруулж	tʰ ɔ t r ʊː ɮ t͡ʃ
тодруулна	tʰ ɔ t r ʊː ɮ n a
тодхон	tʰ ɔ t x ɔ n
тодын	tʰ ɔ t iː n
тоймгүй	tʰ ɔ j m ɡ u j
тоймлон	tʰ ɔ j m ɮ ɔ n
тоймтой	tʰ ɔ j m tʰ ɔ j
тойргийн	tʰ ɔ j r ɡ iː n
тойргоос	tʰ ɔ j r ɡ ɔː s
тойрдог	tʰ ɔ j r t ɔ ɡ
тойрмоор	tʰ ɔ j r m ɔː r
тойрноо	tʰ ɔ j r n ɔː
тойрны	tʰ ɔ j r n iː
тойрныг	tʰ ɔ j r n iː ɡ
тойров	tʰ ɔ j r ɔ w
тойрог	tʰ ɔ j r ɔ ɡ
тойрогт	tʰ ɔ j r ɔ ɡ tʰ
тойрон	tʰ ɔ j r ɔ n
тойронд	tʰ ɔ j r ɔ n t
тойрсон	tʰ ɔ j r s ɔ n
тойруулаад	tʰ ɔ j r ʊː ɮ aː t
тойруулж	tʰ ɔ j r ʊː ɮ t͡ʃ
тойрч	tʰ ɔ j r t͡ʃʰ
токиод	tʰ ɔ kʰ iɔ t
толбо	tʰ ɔ ɮ p ɔ
толбоноосоо	tʰ ɔ ɮ p ɔ n ɔː s ɔː
толгой	tʰ ɔ ɮ ɡ ɔ j
толгойг	tʰ ɔ ɮ ɡ ɔ j ɡ
толгойгоо	tʰ ɔ ɮ ɡ ɔ j ɡ ɔː
толгойгоор	tʰ ɔ ɮ ɡ ɔ j ɡ ɔː r
толгойд	tʰ ɔ ɮ ɡ ɔ j t
толгойлогч	tʰ ɔ ɮ ɡ ɔ j ɮ ɔ ɡ t͡ʃʰ
толгойн	tʰ ɔ ɮ ɡ ɔ j n
толгойноос	tʰ ɔ ɮ ɡ ɔ j n ɔː s
толгойтой	tʰ ɔ ɮ ɡ ɔ j tʰ ɔ j
толилуулъя	tʰ ɔ ɮ i ɮ ʊː ɮʲ a
толин	tʰ ɔ ɮ i n
толинд	tʰ ɔ ɮ i n t
толио	tʰ ɔ ɮ iɔ
толиос	tʰ ɔ ɮ iɔ s
толиотой	tʰ ɔ ɮ iɔ tʰ ɔ j
толь	tʰ ɔ ɮʲ
тольтойгоо	tʰ ɔ ɮʲ tʰ ɔ j ɡ ɔː
том	tʰ ɔ m
томгүй	tʰ ɔ m ɡ u j
томилж	tʰ ɔ m i ɮ t͡ʃ
томилогдож	tʰ ɔ m i ɮ ɔ ɡ t ɔ t͡ʃ
томилогдсон	tʰ ɔ m i ɮ ɔ ɡ t s ɔ n
томилолт	tʰ ɔ m i ɮ ɔ ɮ tʰ
томилолтоор	tʰ ɔ m i ɮ ɔ ɮ tʰ ɔː r
томилон	tʰ ɔ m i ɮ ɔ n
томилох	tʰ ɔ m i ɮ ɔ x
томилсныг	tʰ ɔ m i ɮ s n iː ɡ
томоогүй	tʰ ɔ m ɔː ɡ u j
томоор	tʰ ɔ m ɔː r
томоос	tʰ ɔ m ɔː s
томоотой	tʰ ɔ m ɔː tʰ ɔ j
томоохон	tʰ ɔ m ɔː x ɔ n
томрох	tʰ ɔ m r ɔ x
томтойгоо	tʰ ɔ m tʰ ɔ j ɡ ɔː
томуу	tʰ ɔ m ʊː
томчууд	tʰ ɔ m t͡ʃʰ ʊː t
томчуудаас	tʰ ɔ m t͡ʃʰ ʊː t aː s
томчуудад	tʰ ɔ m t͡ʃʰ ʊː t a t
томчуудын	tʰ ɔ m t͡ʃʰ ʊː t iː n
томьёолбол	tʰ ɔ mʲ j ɔ ɔ ɮ p ɔ ɮ
томьёоны	tʰ ɔ mʲ j ɔ ɔ n iː
томьёотой	tʰ ɔ mʲ j ɔ ɔ tʰ ɔ j
тонгойв	tʰ ɔ n ɡ ɔ j w
тонгойж	tʰ ɔ n ɡ ɔ j t͡ʃ
тонголзон	tʰ ɔ n ɡ ɔ ɮ t͡s ɔ n
тонил	tʰ ɔ n i ɮ
тоног	tʰ ɔ n ɔ ɡ
тоноглолуудыг	tʰ ɔ n ɔ ɡ ɮ ɔ ɮ ʊː t iː ɡ
тоногтой	tʰ ɔ n ɔ ɡ tʰ ɔ j
тонож	tʰ ɔ n ɔ t͡ʃ
тоншихоор	tʰ ɔ n ʃ i x ɔː r
тоо	tʰ ɔː
тоог	tʰ ɔː ɡ
тоогдоогүй	tʰ ɔː ɡ t ɔː ɡ u j
тоогоо	tʰ ɔː ɡ ɔː
тоогоор	tʰ ɔː ɡ ɔː r
тоогүй	tʰ ɔː ɡ u j
тоож	tʰ ɔː t͡ʃ
тоолж	tʰ ɔː ɮ t͡ʃ
тоолох	tʰ ɔː ɮ ɔ x
тоомсорлосон	tʰ ɔː m s ɔ r ɮ ɔ s ɔ n
тоон	tʰ ɔː n
тоонд	tʰ ɔː n t
тоонон	tʰ ɔː n ɔ n
тооноор	tʰ ɔː n ɔː r
тооны	tʰ ɔː n iː
тоорой	tʰ ɔː r ɔ j
тоорын	tʰ ɔː r iː n
тоос	tʰ ɔː s
тоосон	tʰ ɔː s ɔ n
тоосонд	tʰ ɔː s ɔ n t
тоостой	tʰ ɔː s tʰ ɔ j
тоосыг	tʰ ɔː s iː ɡ
тоотой	tʰ ɔː tʰ ɔ j
тоохгүй	tʰ ɔː x ɡ u j
тоохоо	tʰ ɔː x ɔː
тооцвол	tʰ ɔː t͡sʰ w ɔ ɮ
тооцдог	tʰ ɔː t͡sʰ t ɔ ɡ
тооцогдож	tʰ ɔː t͡sʰ ɔ ɡ t ɔ t͡ʃ
тооцогдоно	tʰ ɔː t͡sʰ ɔ ɡ t ɔ n ɔ
тооцогдох	tʰ ɔː t͡sʰ ɔ ɡ t ɔ x
тооцогдсон	tʰ ɔː t͡sʰ ɔ ɡ t s ɔ n
тооцож	tʰ ɔː t͡sʰ ɔ t͡ʃ
тооцон	tʰ ɔː t͡sʰ ɔ n
тооцоо	tʰ ɔː t͡sʰ ɔː
